date,step,max_dev,worst_feat,worst_idx,nan_live,nan_bt,gate_pass
2021-12-20,19,0.0,vix_percentile_1y,0,0,0,True
2022-02-14,20,0.0,vix_percentile_1y,0,0,0,True
2022-04-11,21,0.0,vix_percentile_1y,0,0,0,True
2022-06-06,22,0.0,vix_percentile_1y,0,0,0,True
2022-08-01,23,0.0,vix_percentile_1y,0,0,0,True
2022-09-26,24,0.0,vix_percentile_1y,0,0,0,True
2022-11-21,25,0.0,vix_percentile_1y,0,0,0,True
2023-01-17,26,0.0,vix_percentile_1y,0,0,0,True
2023-03-13,27,0.0,vix_percentile_1y,0,0,0,True
2023-05-08,28,0.0,vix_percentile_1y,0,0,0,True
2023-07-03,29,0.0,vix_percentile_1y,0,0,0,True
2023-08-28,30,0.0,vix_percentile_1y,0,0,0,True
2023-10-23,31,0.0,vix_percentile_1y,0,0,0,True
2023-12-18,32,0.0,vix_percentile_1y,0,0,0,True
2024-02-12,33,0.0,vix_percentile_1y,0,0,0,True
2024-04-08,34,0.0,vix_percentile_1y,0,0,0,True
2024-06-03,35,0.0,vix_percentile_1y,0,0,0,True
2024-07-29,36,0.0,vix_percentile_1y,0,0,0,True
2024-09-23,37,0.0,vix_percentile_1y,0,0,0,True
2024-11-18,38,0.0,vix_percentile_1y,0,0,0,True
2025-01-13,39,0.0,vix_percentile_1y,0,0,0,True
2025-03-10,40,0.0,vix_percentile_1y,0,0,0,True
2025-05-05,41,0.0,vix_percentile_1y,0,0,0,True
2025-06-30,42,0.0,vix_percentile_1y,0,0,0,True
2025-08-25,43,0.0,vix_percentile_1y,0,0,0,True
2025-10-20,44,0.0,vix_percentile_1y,0,0,0,True
2025-12-15,45,0.0,vix_percentile_1y,0,0,0,True
2026-02-09,46,0.0,vix_percentile_1y,0,0,0,True
2026-04-06,47,0.0,vix_percentile_1y,0,0,0,True
2026-04-06,48,0.0,vix_percentile_1y,0,0,0,True
