score,label,mean_ic,ic_sharpe,pct_positive_ic,top_bot_spread,precision_at_20,decile_monotonicity,high_vix_ic,low_vix_ic,n_dates
volatility_only,target_fwd_ret,0.049972434294095466,0.17540972990984852,55.68814638027049,1.639358925973789,33.56476459101757,0.12131819387189313,0.03053007819598039,0.05325350136225715,2514
score_50_50,target_fwd_ret,0.041116415246341076,0.15031273446674756,55.88703261734288,1.2232685895858548,28.932523323931434,0.10396567103011017,0.04174742658010726,0.04100992658332057,2514
score_60_40,target_fwd_ret,0.035760849294963995,0.13081801100801277,54.813046937151945,1.189062232280695,28.256310117885292,0.08188327185940551,0.04424413929554395,0.034329220159580204,2514
score_70_30,target_fwd_ret,0.030432749743745782,0.11121594323672725,52.74463007159904,1.1381508620686784,27.399291241773337,0.06155107157493793,0.046619858766759364,0.027701033995092175,2514
momentum_only,target_fwd_ret,0.017562245093934524,0.06559598551464756,50.278440731901355,0.7059114713973643,24.904172994865114,0.02593476531424025,0.05090086687922634,0.0119360620590387,2514
volatility_only,target_rank_cs,0.049972434294095466,0.17540972990984852,55.68814638027049,3.8638790349502585,33.56476459101757,0.08724800060205075,0.03053007819598039,0.05325350136225715,2514
score_50_50,target_rank_cs,0.041116415246341076,0.15031273446674756,55.88703261734288,3.1157797224341235,28.932523323931434,0.07547868958559555,0.04174742658010726,0.04100992658332057,2514
score_60_40,target_rank_cs,0.035760849294963995,0.13081801100801277,54.813046937151945,2.8585863847033677,28.256310117885292,0.06395462840580236,0.04424413929554395,0.034329220159580204,2514
score_70_30,target_rank_cs,0.030432749743745782,0.11121594323672725,52.74463007159904,2.6414749447589037,27.399291241773337,0.044845848817948473,0.046619858766759364,0.027701033995092175,2514
momentum_only,target_rank_cs,0.017562245093934524,0.06559598551464756,50.278440731901355,1.6875365626218248,24.904172994865114,0.01670027460803643,0.05090086687922634,0.0119360620590387,2514
