metric,value,covered_tickers,expected_tickers
ticker_coverage,1.0,44,44
eps_row_coverage,1.0,44,44
book_value_row_coverage,1.0,44,44
net_income_row_coverage,0.9964376590330789,44,44
shares_outstanding_row_coverage,0.9806615776081425,44,44
revenue_row_coverage,0.9541984732824428,43,44
gross_profit_row_coverage,0.3933842239185751,17,44
total_assets_row_coverage,1.0,44,44
total_debt_row_coverage,0.8661577608142493,40,44
operating_income_row_coverage,0.7989821882951654,36,44
interest_expense_row_coverage,0.8213740458015267,36,44
operating_cash_flow_row_coverage,1.0,44,44
