runner,execution_timing,price_mode,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,avg_turnover_per_period,peak_turnover_per_period,universe,start_date,end_date,avg_turnover_per_rebalance,peak_turnover_per_rebalance,total_cost,tc_drag,slippage_drag,avg_cash_exposure,min_cash_exposure,max_target_gross,avg_target_gross,min_selected,n_trades
a7_3_matrix_reference,same_day,adj_close,0.1822004404333375,1.7392971450392654,-0.17004049951091005,0.10475521158244887,203.9919534129562,1.1391765240878726,1.375,4407,0.04424988143448074,1.525900006853834,,,,,,,,,,,,,,
lagged_matrix_reference,next_day_proxy,adj_close,0.1477686895406196,1.3939806087846849,-0.20320794383972018,0.10600483866805643,203.9915813891467,1.1388945284262675,1.375,4406,0.046298588603982456,1.525900006853834,,,,,,,,,,,,,,
phase_b1_production_open_next_day,next_day,raw_open,0.14541025733178592,1.3806074353615283,-0.18696935511646695,0.10532339143437144,203.9915813891467,,,4609,,,sp100_sample,2008-01-03,2026-04-29,0.046298588603982456,1.525900006853834,44143.400806299804,44143.400806299804,0.0,0.04267500628677779,0.0,1.375,1.1391416307322833,21.0,104707.0
diagnostic_adj_close_next_day,next_day,adj_close,0.14732839882668802,1.3820474447300874,-0.18909741978781314,0.10660154930893934,203.9915813891467,,,4609,,,sp100_sample,2008-01-03,2026-04-29,0.046298588603982456,1.525900006853834,47580.20691688728,47580.20691688728,0.0,0.04267461467593135,0.0,1.375,1.1391416307322833,21.0,104741.0
diagnostic_adj_close_same_day,same_day,adj_close,0.14792769558102714,1.3949791414431099,-0.20202431230662932,0.10604294443284329,203.9919534129562,,,4610,,,sp100_sample,2008-01-02,2026-04-29,0.046288167327650606,1.525900006853834,43644.772381872666,43644.772381872666,0.0,0.04266604066059863,0.0,1.375,1.1391765240878726,21.0,104737.0
equal_weight_simulator,next_day,raw_open,0.15998293701244748,0.8642342332667191,-0.4037208624799602,0.1851152509982484,1.4767314175708954,,,239,,,sp100_sample,2008-01-08,2026-04-29,0.13424831068826323,1.0,2887.182356659655,2887.182356659655,0.0,0.016281271756654996,-0.00014049292213032109,1.0,1.0,39.0,9718.0
a7_3_matrix_reference,same_day,adj_close,0.23533915310898257,1.538924905720007,-0.26357163804361494,0.15292439041973652,230.74690910818936,1.1390717501260705,1.375,4404,0.05008615348560654,1.6782734063526668,,,,,,,,,,,,,,
lagged_matrix_reference,next_day_proxy,adj_close,0.17654772723922996,1.1474345895492708,-0.29441751665315274,0.15386299911751877,230.7242010603949,1.1387895223825748,1.375,4403,0.052401590065953865,1.6782734063526668,,,,,,,,,,,,,,
phase_b1_production_open_next_day,next_day,raw_open,0.1756383534019048,1.1155679416688589,-0.26981282187761335,0.15744299100165488,230.7242010603949,,,4606,,,sp500_dynamic,2008-01-03,2026-04-24,0.052401590065953865,1.6782734063526668,61310.30770895426,61310.30770895426,0.0,0.042701135806480134,0.0,1.375,1.139036762834677,21.0,105366.0
diagnostic_adj_close_next_day,next_day,adj_close,0.17497008393221147,1.136891865920666,-0.27407595066027257,0.1539021336831529,230.7242010603949,,,4606,,,sp500_dynamic,2008-01-03,2026-04-24,0.052401590065953865,1.6782734063526668,64796.36423181084,64796.36423181084,0.0,0.04270063468564135,0.0,1.375,1.139036762834677,21.0,105372.0
diagnostic_adj_close_same_day,same_day,adj_close,0.17649261158413632,1.146837255342457,-0.29358650910183726,0.15389508037165558,230.74690910818933,,,4607,,,sp500_dynamic,2008-01-02,2026-04-24,0.05239484766307659,1.6782734063526668,58995.76142002821,58995.76142002821,0.0,0.042692321227471235,0.0,1.375,1.1390717501260705,21.0,105382.0
equal_weight_simulator,next_day,raw_open,0.1333452329175948,0.618547141637299,-0.5479341743507127,0.2155781248372258,21.634885320664146,,,239,,,sp500_dynamic,2008-01-08,2026-04-24,0.09052253272244412,1.0,4102.2407247061,4102.2407247061,0.0,-0.0001165215318008986,-0.0010810692867995676,1.0000000000000004,1.0,128.0,69860.0
