step_label,train_sharpe_approx,val_sharpe,best_val_sharpe,patience_counter
ep=1,,0.9243052882217272,-inf,0
ep=2,,0.9905442950169834,0.9243052882217272,0
ep=3,,0.9927652085186347,0.9905442950169834,0
ep=4,,1.0402200088318883,0.9927652085186347,0
ep=5,,0.9953836591832713,1.0402200088318883,0
ep=6,,1.034945928675323,1.0402200088318883,1
ep=7,,1.0383703630444663,1.0402200088318883,2
ep=8,,1.0512170103891254,1.0402200088318883,3
ep=9,,1.0939610199175103,1.0512170103891254,0
ep=10,,1.0847194507447955,1.0939610199175103,0
ep=11,,1.010921053483796,1.0939610199175103,1
ep=12,,1.0773166968807688,1.0939610199175103,2
ep=13,,1.1018476802997663,1.0939610199175103,3
ep=14,,1.084265999926606,1.1018476802997663,0
ep=15,,1.1009166895202374,1.1018476802997663,1
ep=16,,1.1162615565873415,1.1018476802997663,2
ep=17,,1.111610084577671,1.1162615565873415,0
ep=18,,1.0841563503654337,1.1162615565873415,1
ep=19,,1.090717218272309,1.1162615565873415,2
ep=20,,1.1062271626316273,1.1162615565873415,3
ep=21,,1.0332703681465853,1.1162615565873415,4
ep=22,,1.0489169447984428,1.1162615565873415,5
ep=23,,1.0401920719196103,1.1162615565873415,6
ep=24,,1.0644788455963181,1.1162615565873415,7
ep=25,,1.072371260900815,1.1162615565873415,8
ep=26,,1.0165891782392715,1.1162615565873415,9
ep=27,,1.019989935218491,1.1162615565873415,10
ep=28,,1.042035318829207,1.1162615565873415,11
ep=29,,1.053305116125455,1.1162615565873415,12
ep=30,,1.0247811739579504,1.1162615565873415,13
ep=31,,1.0317147145959982,1.1162615565873415,14
ep=32,,1.0444448435094664,1.1162615565873415,15
ep=33,,1.0731478487838695,1.1162615565873415,16
ep=34,,1.0358417245772336,1.1162615565873415,17
ep=35,,1.040694193927302,1.1162615565873415,18
ep=36,,1.06665829908554,1.1162615565873415,19
ep=37,,1.0204647715561765,1.1162615565873415,20
ep=38,,0.9927799510155051,1.1162615565873415,21
ep=39,,0.9923573727470253,1.1162615565873415,22
ep=40,,0.9860830591218238,1.1162615565873415,23
ep=41,,0.9931137669047816,1.1162615565873415,24
ep=42,,0.9701157979050301,1.1162615565873415,25
ep=43,,0.9648367888513025,1.1162615565873415,26
ep=44,,0.941581651052193,1.1162615565873415,27
ep=45,,0.9161136165431605,1.1162615565873415,28
ep=46,,0.9246990662440521,1.1162615565873415,29
ep=47,,0.9189777474054351,1.1162615565873415,30
ep=48,,0.898365475333373,1.1162615565873415,31
ep=49,,0.9315329430269783,1.1162615565873415,32
ep=50,,0.9040626973094,1.1162615565873415,33
ep=51,,0.9317818453275715,1.1162615565873415,34
ep=52,,0.9228330088805822,1.1162615565873415,35
ep=53,,0.9327203720258325,1.1162615565873415,36
ep=54,,0.9227433246454994,1.1162615565873415,37
ep=55,,0.9150663702301912,1.1162615565873415,38
ep=56,,0.9046044666265023,1.1162615565873415,39
ep=57,,0.9441661996706272,1.1162615565873415,40
ep=58,,0.9689907073628321,1.1162615565873415,41
ep=59,,0.9878809442314814,1.1162615565873415,42
ep=60,,0.9940038463696063,1.1162615565873415,43
ep=61,,0.9822638502573139,1.1162615565873415,44
ep=62,,0.9644268522270916,1.1162615565873415,45
ep=63,,0.9433223528916685,1.1162615565873415,46
ep=64,,0.9274962685420455,1.1162615565873415,47
ep=65,,0.9437435989493745,1.1162615565873415,48
ep=66,,0.9302569049825519,1.1162615565873415,49
