universe,runner,execution_timing,price_mode,start_date,end_date,cagr,sharpe,max_dd,volatility,avg_turnover_per_rebalance,peak_turnover_per_rebalance,turnover_sum,total_cost,tc_drag,slippage_drag,avg_cash_exposure,min_cash_exposure,max_target_gross,avg_target_gross,min_selected,n_rebalances,n_trades,variant,sleeve,trade_threshold,persistence_exit_rank,update_frequency,partial_rebalance,cost_bps,raw_signal_dates,controlled_signal_dates,passes_sharpe,passes_max_dd,passes_cagr,passes_gross,turnover_reduction_pct,passes_turnover,passes_b2_candidate
sp500_dynamic,baseline_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17575060577235102,1.1424973066619966,-0.29441751665315274,0.15383021452001214,0.052372363941905274,1.6782734063526672,230.59551843620892,59202.43948822995,59202.43948822995,0.0,-0.13878952238257466,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100897,baseline_cost_10bps,baseline,0.0,,daily,1.0,10.0,4607,4404,True,True,True,True,0.0005577289412687092,False,False
sp500_dynamic,threshold_thr_25bps_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17823531598021658,1.1589352787050382,-0.30166352812104036,0.15379229475124073,0.057646561511948205,1.6886428088743473,189.6571873743096,50599.214677526514,50599.214677526514,0.0,-0.13471967822832204,-0.39691298159894295,1.396912981598943,1.134719678228322,21,3290,14603,threshold_thr_25bps_cost_10bps,threshold,0.0025,,daily,1.0,10.0,4607,3291,True,True,True,True,0.17799178684199757,True,True
sp500_dynamic,threshold_thr_50bps_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18161853113582027,1.16564279383054,-0.3156741530762541,0.15580976616256917,0.06693594731936552,1.6831489851688552,173.09635976787922,48304.351599403395,48304.351599403395,0.0,-0.1334090921779331,-0.42291891943037285,1.4229189194303729,1.1334090921779332,21,2586,8537,threshold_thr_50bps_cost_10bps,threshold,0.005,,daily,1.0,10.0,4607,2587,True,True,True,True,0.2497693793374114,True,True
sp500_dynamic,threshold_thr_100bps_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1831402731599967,1.1367828694342414,-0.3503347833221431,0.16110400506927297,0.09202152317880027,1.7460418527967094,157.35680463574846,43861.75964681753,43861.75964681753,0.0,-0.1355100463116722,-0.5094316439535393,1.5094316439535393,1.1355100463116723,21,1710,5534,threshold_thr_100bps_cost_10bps,threshold,0.01,,daily,1.0,10.0,4607,1710,True,False,True,False,0.31798742985890316,True,False
sp500_dynamic,persistence_persist_top30_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1725104089468712,1.1200907624129979,-0.3034232328800748,0.15401466982482218,0.04878541374762849,1.5868493666533672,214.80217673080824,52482.97856821443,52482.97856821443,0.0,-0.13878952238257464,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100461,persistence_persist_top30_cost_10bps,persistence,0.0,30.0,daily,1.0,10.0,4607,4404,True,True,True,True,0.06900890010320437,False,False
sp500_dynamic,persistence_persist_top40_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17660278376887395,1.1445927769823732,-0.31380459009807116,0.15429311395313275,0.04715039736921069,1.6173240465531338,207.6031996166347,52512.29914460446,52512.29914460446,0.0,-0.13878952238257464,-0.375,1.375,1.1387895223825748,21,4403,100271,persistence_persist_top40_cost_10bps,persistence,0.0,40.0,daily,1.0,10.0,4607,4404,True,True,True,True,0.10021055608109297,True,True
sp500_dynamic,frequency_every_2_rebalances_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18329933873351445,1.1438046721244668,-0.33686889659237984,0.1602540566590448,0.7468459801094475,1.9399952995017806,89.62151761313369,26050.844982771698,26050.844982771698,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,frequency_every_2_rebalances_cost_10bps,frequency,0.0,,every_2_rebalances,1.0,10.0,120,120,True,True,True,True,0.6115642935889096,True,True
sp500_dynamic,frequency_4w_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18708797689854295,1.1624893778429408,-0.3665333779052037,0.16093736464559733,1.027838198752277,1.810292697580719,61.67029192513661,16653.265913606716,16653.265913606716,0.0,-0.1497134405884572,-0.3462034939365286,1.3462034939365286,1.1497134405884573,21,60,2078,frequency_4w_cost_10bps,frequency,0.0,,4w,1.0,10.0,60,60,True,False,True,True,0.7327099111183977,True,False
sp500_dynamic,partial_partial_50_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18069533429465912,1.1762738730633282,-0.28431237405647714,0.15361672007904137,0.037608336746747226,0.8368605100464042,173.1111740452775,47184.70463107346,47184.70463107346,0.0,-0.13850664278356056,-0.3730162410323772,1.3730162410323772,1.1385066427835606,22,4603,145887,partial_partial_50_cost_10bps,partial,0.0,,daily,0.5,10.0,4607,4604,True,True,True,True,0.24970517160628358,True,True
sp500_dynamic,partial_partial_75_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17809677125889567,1.158624289126715,-0.2892985226416296,0.15371399765245022,0.043356578392536066,1.2568655697057998,199.57033034084353,52774.75866006236,52774.75866006236,0.0,-0.1386951696147431,-0.3746815234041374,1.3746815234041374,1.1386951696147432,21,4603,125568,partial_partial_75_cost_10bps,partial,0.0,,daily,0.75,10.0,4607,4602,True,True,True,True,0.1350264500176248,True,True
sp500_dynamic,combo_thr_25bps_persist_top30_partial_75_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.20542918270828836,1.1234880126457867,-0.3850335429803674,0.18284946558931917,0.04435416593274221,1.179269144726221,143.84056011988298,48954.262208076674,48954.262208076674,0.0,-0.29728298313915075,-0.6737941311241231,1.6737941311241231,1.297282983139151,22,3243,12799,combo_thr_25bps_persist_top30_partial_75_cost_10bps,combo,0.0025,30.0,daily,0.75,10.0,4607,3244,True,False,True,False,0.37656925402760966,True,False
sp500_dynamic,combo_thr_25bps_persist_top30_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17462230176354399,1.1335828595266666,-0.3117499739206502,0.15404458553339315,0.0528524094606318,1.5900679311543542,173.88442712547862,43805.74327686595,43805.74327686595,0.0,-0.13468084391881419,-0.39788879408336975,1.3978887940833697,1.1346808439188143,21,3290,13823,combo_thr_25bps_persist_top30_cost_10bps,combo,0.0025,30.0,daily,1.0,10.0,4607,3291,True,True,True,True,0.2463537542855122,True,True
sp500_dynamic,combo_thr_25bps_persist_top40_partial_75_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.20568525445590136,1.1404882512894976,-0.38967592327035283,0.18034842026942627,0.04235877046162702,1.203874218035633,137.32713383659473,46368.01149447835,46368.01149447835,0.0,-0.2775210634997082,-0.6455743026151646,1.6455743026151646,1.277521063499708,22,3242,12080,combo_thr_25bps_persist_top40_partial_75_cost_10bps,combo,0.0025,40.0,daily,0.75,10.0,4607,3243,True,False,True,False,0.40479960993864217,True,False
sp500_dynamic,combo_thr_25bps_persist_top40_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1781007188380217,1.1540845598271208,-0.322625415081496,0.1543220705289574,0.05064605132350209,1.6229262237276856,166.6761549056454,43168.75303242692,43168.75303242692,0.0,-0.1344743181940723,-0.4015306617058916,1.4015306617058916,1.1344743181940722,21,3291,13461,combo_thr_25bps_persist_top40_cost_10bps,combo,0.0025,40.0,daily,1.0,10.0,4607,3292,True,True,True,True,0.2775956969158614,True,True
sp500_dynamic,combo_thr_50bps_persist_top30_partial_75_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.2745352099391778,1.0318042319760132,-0.5613347455837543,0.2660729636797613,0.05119888457948543,1.1742910112920453,124.31089175899064,81352.82637353885,81352.82637353885,0.0,-0.6851541309360711,-1.4266342737141384,2.4266342737141384,1.6851541309360711,22,2428,6907,combo_thr_50bps_persist_top30_partial_75_cost_10bps,combo,0.005,30.0,daily,0.75,10.0,4607,2429,True,False,True,False,0.4612143340014154,True,False
sp500_dynamic,combo_thr_50bps_persist_top30_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17718279963856065,1.127709678829456,-0.32546750481227815,0.15711738842436243,0.06078161899294751,1.5833907533016902,157.66751966770582,41515.127517679575,41515.127517679575,0.0,-0.13354405965815264,-0.42528487210014787,1.4252848721001479,1.1335440596581527,21,2594,7798,combo_thr_50bps_persist_top30_cost_10bps,combo,0.005,30.0,daily,1.0,10.0,4607,2595,True,True,True,True,0.31664073526875025,True,True
sp500_dynamic,combo_thr_50bps_persist_top40_partial_75_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.2652267412303573,1.0370805661850937,-0.5525438423801592,0.25574362289517705,0.04932282391788627,1.1981499267706603,119.45987952912057,70934.79821714602,70934.79821714602,0.0,-0.6203792937201308,-1.311038091265448,2.311038091265448,1.6203792937201307,22,2422,6499,combo_thr_50bps_persist_top40_partial_75_cost_10bps,combo,0.005,40.0,daily,0.75,10.0,4607,2423,True,False,True,False,0.48223948970623554,True,False
sp500_dynamic,combo_thr_50bps_persist_top40_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1806205739093949,1.1474088690799937,-0.33778233975697836,0.1574160517464177,0.058043193363748184,1.6174324000221936,150.56404358556279,40549.87458516728,40549.87458516728,0.0,-0.13298748830605334,-0.4221292113054833,1.4221292113054833,1.1329874883060531,21,2594,7468,combo_thr_50bps_persist_top40_cost_10bps,combo,0.005,40.0,daily,1.0,10.0,4607,2595,True,True,True,True,0.34742847267186194,True,True
